url,headline
https://www.foxnews.com/opinion/blue-states-latest-sneaky-cash-grab-targets-biggest-payday-yet,Blue states’ latest sneaky cash grab targets your biggest payday yet
https://www.nbcnews.com/news/world/israeli-found-dead-shot-west-bank-rcna158428,An Israeli found dead after being shot in the West Bank as deadly strikes hit northern Gaza
https://www.foxnews.com/politics/voter-frustration-crime-liberal-das-mounting-california-while-harris-mum-controversial-prop-47,"Voter frustration with crime, liberal DAs mounting in California while Harris mum on controversial Prop 47"
https://www.nbcnews.com/news/world/israel-sends-tanks-west-bank-rcna193384,"Israel sends tanks into West Bank for first time in decades, says fleeing Palestinians can't return"
https://www.nbcnews.com/news/world/pope-francis-vatican-health-rome-pneumonia-hospital-pontiff-holy-see-rcna193586,"Pope Francis remains in critical condition, Vatican says"
https://www.foxnews.com/media/david-letterman-blasts-lying-weasels-cbs-over-stephen-colbert-cancelation,David Letterman blasts ‘lying weasels’ at CBS over Stephen Colbert cancellation
https://www.foxnews.com/outkick-sports/jermod-mccoys-troubling-understandable-draft-slide-ends-raiders-fourth-round-selection,Jermod McCoy’s troubling but understandable draft slide ends with Raiders’ fourth-round selection
https://www.nbcnews.com/politics/politics-news/state-department-failed-plan-respond-fast-enough-afghanistan-collapse-rcna92153,"State Department failed to plan or respond fast enough in Afghanistan collapse, new U.S. report finds"
https://www.nbcnews.com/world/venezuela/us-allies-foes-fear-maduros-capture-sets-precedent-rcna252141,U.S. allies and foes fear Maduro's capture sets precedent for more American intervention
https://www.nbcnews.com/news/nbcblk/black-men-smile-prioritizes-black-joy-bleak-rcna187632,Black Men Smile prioritizes Black joy in bleak times
https://www.foxnews.com/us/american-space-legend-buzz-aldrin-marries-63-year-old-girlfriend-93rd-birthday,American space legend Buzz Aldrin marries 63 year old girlfriend on his 93rd birthday
https://www.nbcnews.com/select/shopping/bose-ultra-open-earbuds-review-rcna138875,Earbuds or ear cuffs? These new headphones from Bose are both
https://www.nbcnews.com/news/latino/doubts-surface-over-puerto-rican-governor-s-motivation-fire-housing-n1119616,Doubts surface over Puerto Rican governor’s motivation to fire housing secretary
https://www.foxnews.com/politics/biden-admin-eco-rule-curbing-oil-drilling-mining-faces-widespread-opposition,"Biden admin eco rule curbing oil drilling, mining faces widespread opposition"
https://www.foxnews.com/politics/supreme-court-rules-key-voting-rights-act-rule-republicans-democrats-wage-redistricting-war,Supreme Court rules on key Voting Rights Act rule as Republicans and Democrats wage redistricting war
https://www.nbcnews.com/investigations/trump-says-crime-up-fbi-numbers-say-crime-historic-lows-rcna173590,Trump says crime is out of control. The numbers tell a different story.
https://www.nbcnews.com/health/health-news/medicare-will-negotiate-price-botox-14-drugs-year-rcna256191,Medicare will negotiate the price of Botox and 14 other drugs this year
https://www.foxnews.com/food-drink/candy-tours-america-5-destinations-sweet-family-memories,Candy tours of America: 5 delectable destinations for sweet family memories
https://www.nbcnews.com/business/personal-finance/thinking-not-filing-tax-return-irs-cutbacks-penalties-can-costly-rcna194084,"Thinking of not filing your tax return amid IRS cutbacks? Penalties can be costly, experts say"
https://www.nbcnews.com/news/us-news/30k-stolen-nascar-legend-greg-biffles-home-weeks-death-rcna254087,"$30K stolen from NASCAR legend Greg Biffle's home weeks after his death, authorities say"
